"PAIS","PROVINCIA","MUNICIPIO"
"ARGENTINA","BUENOS_AIRES","NAVARRO"
"ARGENTINA","FORMOSA","LAISHI_"
"ARGENTINA","SANTIAGO_DEL_ESTERO","SARMIENTO"
"SUDAFRICA","GAUTENG","SIN_INFORMAR"
"ESPAÑA","ZARAGOZA","GELSA"
"ESPAÑA","GUIPUZCOA","LEGAZPI"
"ESPAÑA","CANTABRIA","NOJA"
"MEXICO","YUCATAN","MéRIDA"
"ESPAÑA","VALENCIA","RIBA_ROJA_DE_TURIA"
"URUGUAY","FLORES","SIN_INFORMAR"
"BELGICA","LIEGE","SIN_INFORMAR"
"ESPAÑA","MADRID","ARROYOMOLINOS_(MADRID)"
"ESPAÑA","MURCIA","MULA"
"ESPAÑA","LAS_PALMAS","TUINEJE"
"ESPAÑA","GUIPUZCOA","BERGARA"
"ESPAÑA","SORIA","LANGA_DE_DUERO"
"ESPAÑA","MADRID","SOTO_DEL_REAL"
"MEXICO","HIDALGO","PACHUCA_DE_SOTO"
"BRASIL","RIO_GRANDE_DO_NORTE","LITORAL_SUL"
"MEXICO","VERACRUZ-LLAVE","XALAPA"
"ESPAÑA","HUESCA","MONZON"
"JORDANIA","AMMAN","SIN_INFORMAR"
"ESPAÑA","LEON","VALENCIA_DE_DON_JUAN"
"ESPAÑA","LA_CORUÑA","MUROS"
"LIBANO","BEQAA","CAZA_BAALBEK"
"NORUEGA","BUSKERUD","SIN_INFORMAR"
"MEXICO","MEXICO","TEXCOCO"
"BRASIL","SAO_PAULO","ITANHAéM"
"SAN_MARINO","BORGO_MAGGIORE","SIN_INFORMAR"
"ESPAÑA","VALENCIA","VILLAR_DEL_ARZOBISPO"
"MEXICO","CHIHUAHUA","SIN_INFORMAR"
"ESPAÑA","SALAMANCA","ARAPILES"
"ESPAÑA","BARCELONA","CALAF"
"ESPAÑA","CADIZ","ESPERA"
"SUECIA","VASTERBOTTENS_LAN","SIN_INFORMAR"
"ESPAÑA","CANTABRIA","VILLACARRIEDO"
"ESPAÑA","TOLEDO","GERINDOTE"
"ESPAÑA","LA_CORUÑA","CABANAS"
"ESPAÑA","GIRONA","SANT_JULIA_DEL_LLOR_I_BONMATI"
"ESPAÑA","NAVARRA","OLITE"
"ESPAÑA","LA_CORUÑA","PONTEDEUME"
" ","ENTRE RIOS","PARANA"
"MEXICO","CHIAPAS","COMITáN_DE_DOMíNGUEZ"
"ARGENTINA","BUENOS_AIRES","GENERAL_RODRíGUEZ"
"ARGENTINA","FORMOSA","FORMOSA"
"ARGENTINA","CORRIENTES","ESQUINA"
"ARGENTINA","SALTA","MOLINOS"
"ARGENTINA","BUENOS_AIRES","TORDILLO"
"ESPAÑA","TARRAGONA","VENDRELL__EL"
"ESPAÑA","GIRONA","PALAMOS"
"ESPAÑA","ZARAGOZA","SIN_INFORMAR"
"ESPAÑA","IBIZA","SANT_JOSEP_DE_SA_TALAIA"
"REINO_UNIDO","BROMLEY","SIN_INFORMAR"
"ESPAÑA","CANTABRIA","CASTRO_URDIALES"
"ESPAÑA","LAS_PALMAS","PALMAS_DE_GRAN_CANARIA__LAS"
"LIBANO","MONT-LIBAN","CAZA_EL_METN"
"ESPAÑA","NAVARRA","CIZUR_(GAZOLAZ)"
"CHILE","MAGALLANES_Y_DE_LA_ANTARTICA_CHILENA","SIN_INFORMAR"
"MEXICO","SONORA","SAN_LUIS_RíO_COLORADO"
"BELGICA","WEST-VLAANDEREN","SIN_INFORMAR"
"ESPAÑA","VALENCIA","BELLREGUARD"
"ESPAÑA","TARRAGONA","AMPOSTA"
"REINO_UNIDO","STAFFORDSHIRE","SIN_INFORMAR"
"ESPAÑA","CIUDAD_REAL","CAMPO_DE_CRIPTANA"
"ESPAÑA","CASTELLON","BURRIANA"
"BRASIL","MATO_GROSSO","SIN_INFORMAR"
"TURQUIA","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","LA_CORUÑA","OZA_DOS_RIOS"
"ESPAÑA","BURGOS","ARANDA_DE_DUERO"
"ESPAÑA","TOLEDO","MENTRIDA"
"ESPAÑA","TENERIFE","PUNTAGORDA"
"ESPAÑA","GIRONA","ESCALA__L´"
" ","CORDOBA","CAPITAL"
"ESPAÑA","NAVARRA","BERIAIN"
" ","CORDOBA","RIO SECO"
" ","SANTA CRUZ","DESEADO"
" ","CIUDAD AUTONOMA DE BS AS","COMUNA 5"
"MEXICO","GUERRERO","CHILPANCINGO_DE_LOS_BRAVO"
"ESPAÑA","SEGOVIA","RIAZA"
"ESPAÑA","TOLEDO","BELVIS_DE_LA_JARA"
"ESPAÑA","GRANADA","CULLAR"
"ESPAÑA","VALENCIA","ALBAL"
"JAPON","GIFU","SIN_INFORMAR"
"ESPAÑA","BARCELONA","CENTELLES"
"REINO_UNIDO","BRENT","SIN_INFORMAR"
"ESPAÑA","BARCELONA","SANT_VICENÇ_DE_TORELLO"
"ESPAÑA","ZARAGOZA","PUEBLA_DE_ALFINDEN"
"VENEZUELA","GUARICO","SIN_INFORMAR"
"ESPAÑA","LA_RIOJA","AGONCILLO"
"BRASIL","ALAGOAS","ARAPIRACA"
"INDIA","JAMMU_AND_KASHMIR","SIN_INFORMAR"
"ESPAÑA","LAS_PALMAS","FIRGAS"
"MALASIA","PERAK","SIN_INFORMAR"
"ESPAÑA","MALAGA","CAMPILLOS"
"ESPAÑA","MALAGA","FUENTE_DE_PIEDRA"
"ESPAÑA","GRANADA","MALAHA__LA"
"ARGENTINA","CHACO","BERMEJO"
"ARGENTINA","CHACO","GENERAL_GüEMES"
"ARGENTINA","SALTA","GUACHIPAS"
"ARGENTINA","SANTA_FE","SAN_JAVIER"
"ECUADOR","AZUAY","SIN_INFORMAR"
"BOLIVIA","SANTA_CRUZ","SIN_INFORMAR"
"ESTADOS_UNIDOS","KANSAS","SIN_INFORMAR"
"ESPAÑA","MADRID","VILLANUEVA_DEL_PARDILLO"
"ESPAÑA","BARCELONA","SITGES"
"ESPAÑA","MADRID","ESCORIAL__EL"
"ARGENTINA","ENTRE_RIOS","SIN_INFORMAR"
"ESPAÑA","MURCIA","BULLAS"
"ESPAÑA","TOLEDO","CASARRUBIOS_DEL_MONTE"
"ALEMANIA","MECKLENBURG-VORPOMMERN","SIN_INFORMAR"
"ESPAÑA","LA_CORUÑA","AMES"
"BRASIL","SAO_PAULO","JAú"
"ESPAÑA","VALENCIA","TORRENT"
"ESPAÑA","HUELVA","ALJARAQUE"
"ESPAÑA","PONTEVEDRA","GONDOMAR"
"UCRANIA","CHERKAS_KA_OBLAST","SIN_INFORMAR"
"BOLIVIA","COCHABAMBA","ARANI"
"ESTADOS_UNIDOS","SANTA_FE","ROSARIO"
"ESPAÑA","ALMERIA","NIJAR"
"ESPAÑA","SEVILLA","CASARICHE"
"ESPAÑA","BARCELONA","PARETS_DEL_VALLES"
"ESPAÑA","HUELVA","CHUCENA"
"JORDANIA","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","TARRAGONA","VANDELLOS_I_L´HOSPITALET_DE_l´INFANT"
"BOLIVIA","SANTA_CRUZ","ICHILO"
"ESPAÑA","TOLEDO","CEDILLO_DEL_CONDADO"
"ESPAÑA","TOLEDO","SANTO_DOMINGO_CAUDILLA"
"ESPAÑA","LA_RIOJA","PRADILLO"
"BOLIVIA","COCHABAMBA","MIZQUE"
"ESPAÑA","TARRAGONA","DELTEBRE"
"ESPAÑA","SALAMANCA","TEJADO__EL"
"ESPAÑA","BARCELONA","SANT_PERE_DE_VILAMAJOR"
"ESPAÑA","CADIZ","VILLAMARTIN"
"REINO_UNIDO","NEWRY_AND_MOURNE","SIN_INFORMAR"
"ESPAÑA","GUADALAJARA","PIOZ"
"MEXICO","AGUASCALIENTES","ASIENTOS"
"ESPAÑA","LLEIDA","PONT_DE_SUERT__EL"
"ESPAÑA","TARRAGONA","CAMARLES"
"MEXICO","JALISCO","ETZATLáN"
"ESPAÑA","LLEIDA","SERÒS"
"REINO_UNIDO","WAKEFIELD","SIN_INFORMAR"
"MEXICO","AGUASCALIENTES","SIN_INFORMAR"
"MEXICO","NUEVO_LEON","CADEREYTA_JIMéNEZ"
"ARGENTINA","BUENOS_AIRES","GENERAL_MADARIAGA"
"ARGENTINA","BUENOS_AIRES","SUIPACHA"
"ARGENTINA","CORDOBA","SOBREMONTE"
"ARGENTINA","CORRIENTES","BERóN_DE_ASTRADA"
"BOLIVIA","COCHABAMBA","CERCADO"
"ESPAÑA","BARCELONA","MONTCADA_I_REIXAC"
"ESPAÑA","MADRID","ARANJUEZ"
"ESPAÑA","BARCELONA","GRANOLLERS"
"ESPAÑA","LAS_PALMAS","SANTA_LUCIA"
"ESPAÑA","ORENSE","CARBALLIÑO__O"
"ESPAÑA","TOLEDO","YELES"
"ESPAÑA","SEGOVIA","SEGOVIA"
"ESPAÑA","BARCELONA","MOLINS_DE_REI"
"BRASIL","SAO_PAULO","BRAGANçA_PAULISTA"
"ESPAÑA","LUGO","BECERREA"
"REINO_UNIDO","CUMBRIA","SIN_INFORMAR"
"MEXICO","SINALOA","CULIACáN"
"BRASIL","SAO_PAULO","FRANCA"
"ESPAÑA","LEON","CARRIZO"
"SIRIA","HAMAH","SIN_INFORMAR"
"ESPAÑA","BARCELONA","SANT_VICENÇ_DELS_HORTS"
"ESPAÑA","CACERES","CASAR_DE_CACERES"
"ARGENTINA","FORMOSA","DESEADO"
" ","NEUQUEN","CONFLUENCIA"
"LIBANO","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","CANTABRIA","HAZAS_DE_CESTO"
"ECUADOR","CHIMBORAZO","SIN_INFORMAR"
"ESPAÑA","BARCELONA","NAVAS"
"ESPAÑA","CUENCA","ARCAS_DEL_VILLAR"
"ESPAÑA","ALBACETE","MAHORA"
"ESPAÑA","GRANADA","GALERA"
"ESPAÑA","ALAVA","ZIGOITIA"
