"PAIS","PROVINCIA"
"REINO_UNIDO","BATH_AND_NORTH_EAST_SOMERSET"
"MEXICO","CAMPECHE"
"TAIWAN","KAO-HSIUNG"
"URUGUAY","SIN_INFORMAR"
"SUIZA","VAUD"
"SUECIA","SIN_INFORMAR"
"COSTA_RICA","GUANACASTE"
"CANADA","MANITOBA"
"HUNGRIA","FEJER"
"ALEMANIA","RHEINLAND-PFALZ"
"ESTADOS_UNIDOS","HAWAII"
"SAN_MARINO","SAN_MARINO"
"IRLANDA","CORK"
"ESPAÑA","FORMENTERA"
"MEXICO","SAN_LUIS_POTOSI"
"FRANCIA","PICARDIE"
"EMIRATOS_ARABES_UNIDOS","SHARJAH"
"SUDAFRICA","KWAZULU-NATAL"
"MEXICO","CHIAPAS"
"REINO_UNIDO","BUCKINGHAMSHIRE"
"Paises_Bajos","FLEVOLAND"
"MEXICO","BAJA_CALIFORNIA_SUR"
"EL_SALVADOR","SAN_SALVADOR"
"REINO_UNIDO","GREATER_LONDON"
"KUWAIT","HAWALLI"
"ANDORRA","SIN_INFORMAR"
"VIETNAM","HANOI"
"ANDORRA","LA_MASSANA"
"ECUADOR","SIN_INFORMAR"
"POLONIA","WARSZAWA"
"COLOMBIA","NORTE_DE_SANTANDER"
"LIBANO","SIN_INFORMAR"
"SUECIA","GOTEBORGS_OCH_BOHUS_LAN"
"PAPUA_NUEVA_GUINEA","SIN_INFORMAR"
"SUIZA","SCHAFFHAUSEN"
"TAIWAN","T_AI-PEI"
"MEXICO","TAMAULIPAS"
"PERU","CALLAO"
"HOLANDA","GRONINGEN"
"REINO_UNIDO","LINCOLNSHIRE"
"NUEVA_ZELANDA","ASHBURTON"
"RUMANIA","BUCURESTI"
"PORTUGAL","EVORA"
"REINO_UNIDO","LANCASHIRE"
"BOSNIA_Y_HERZEGOVINA","REPUBLIKA_SRPSKA"
"INDIA","PUNJAB"
"BRASIL","MATO_GROSSO"
"LUXEMBURGO","LUXEMBOURG"
"REINO_UNIDO","NOTTINGHAM"
"GUATEMALA","JUTIAPA"
"ESTADOS_UNIDOS","ALASKA"
"HOLANDA","UTRECHT"
"REPUBLICA_POPULAR_CHINA","SHANXI"
"COREA_DEL_SUR","KYONGGI-DO"
"REINO_UNIDO","BRIGHTON_AND_HOVE"
"ESPAÑA","SIN_INFORMAR"
"SAN_MARINO","BORGO_MAGGIORE"
"REINO_UNIDO","WEST_BERKSHIRE"
"URUGUAY","FLORIDA"
"ESLOVAQUIA","NITRA"
"HONDURAS","ATLANTIDA"
"SUECIA","VASTMANLANDS_LAN"
"SAN_MARINO","ACQUAVIVA"
"RUSIA","MOSKVA"
"VENEZUELA","FALCON"
"REINO_UNIDO","CHESHIRE"
"REINO_UNIDO","COVENTRY"
"BELGICA","NAMUR"
"DINAMARCA","ARHUS"
"ANTIGUA_AND_BARBUDA","SIN_INFORMAR"
"PORTUGAL","PORTALEGRE"
"NUEVA_ZELANDA","GOLDEN_BAY"
"MOZAMBIQUE","INHAMBANE"
"REINO_UNIDO","SOMERSET"
"REINO_UNIDO","ABERDEENSHIRE"
"VENEZUELA","GUARICO"
"ESTADOS_UNIDOS","NORTH_DAKOTA"
"SIRIA","HALAB"
"CANADA","YUKON_TERRITORY"
"REPUBLICA_POPULAR_CHINA","ANHUI"
"REINO_UNIDO","NEWRY_AND_MOURNE"
"REPUBLICA_CHECA","MORAVSKOSLEZSKY_KRAJ"
"JAPON","KAGAWA"
"REPUBLICA_POPULAR_CHINA","CHONGQING"
"BOLIVIA","EL_BENI"
"EMIRATOS_ARABES_UNIDOS","SIN_INFORMAR"
"REINO_UNIDO","COOKSTOWN"
"REPUBLICA_DOMINICANA","SAN_PEDRO_DE_MACORIS"
"PANAMA","COLON"
"REINO_UNIDO","PLYMOUTH"
"REINO_UNIDO","MERSEYSIDE"
"HOLANDA","FRIESLAND"
"NUEVA_ZELANDA","TAURANGA"
"REINO_UNIDO","NORTHAMPTONSHIRE"
"MOZAMBIQUE","TETE"
"ESPAÑA","CHUBUT"
"HUNGRIA","PEST"
"ARGENTINA","PTO_ARGENTINO(I_MALVINAS)"
"COREA_DEL_SUR","CHOLLA-BUKTO"
"GRECIA","KERKIRA"
"COREA_DEL_SUR","PUSAN-JIKHALSI"
"REPUBLICA_POPULAR_CHINA","JIANGXI"
"ESLOVENIA","DOMZALE"
"NUEVA_ZELANDA","LAKE"
"ESLOVENIA","IVANCNA_GORICA"
"CHIPRE","LARNACA"
"BIELORRUSIA","SIN_INFORMAR"
"SUECIA","BLEKINGE_LAN"
"REINO_UNIDO","MIDLOTHIAN"
"REINO_UNIDO","AVON"
"RUSIA","BELGOROD"
"BULGARIA","GRAD_SOFIYA"
"INDONESIA","YOGYAKARTA"
"RUSIA","TULA"
"INDONESIA","SUMATERA_UTARA"
"REINO_UNIDO","POOLE"
"IRLANDA","OFFALY"
"EL_SALVADOR","CUSCATLAN"
"NUEVA_ZELANDA","HAURAKI_PLAINS"
"ARGENTINA","MOVILES"
"INDIA","MAHARASHTRA"
"SUECIA","HALLANDS_LAN"
"MALASIA","MELAKA"
"ECUADOR","ZAMORA-CHINCHIPE"
"REPUBLICA_POPULAR_CHINA","LIAONING"
"BRASIL","RONDONIA"
"NICARAGUA","MATAGALPA"
"HONDURAS","CHOLUTECA"
"REINO_UNIDO","WALTHAM_FOREST"
"RUMANIA","ARAD"
"BAHREIN","AL_MANAMAH"
"MARRUECOS","TETOUAN"
"ESLOVENIA","RADENCI"
"LITUANIA","KAUNO_APSKRITIS"
"REINO_UNIDO","WARRINGTON"
"INDIA","JAMMU_AND_KASHMIR"
"GUATEMALA","IZABAL"
"COLOMBIA","CALDAS_DEPARTMENT"
"LIECHTENSTEIN","TRIESEN"
"GRECIA","DHODHEKANISOS"
"RUSIA","LENINGRAD"
" ","CIUDAD AUTONOMA DE BS AS"
" ","BUENOS AIRES"
" ","LA PAMPA"
" ","SANTA FE"
"KIRIBATI","SIN_INFORMAR"
"ESLOVENIA","IG"
"POLONIA","GDANSK"
"REPUBLICA_DOMINICANA","DAJABON"
"ESTADOS_UNIDOS","SANTA_FE"
"FINLANDIA","WESTERN_FINLAND"
"FILIPINAS","ANTIQUE"
"ARGENTINA","DESA_HUMANO"
"MOZAMBIQUE","MANICA"
"EL_SALVADOR","SAN_MIGUEL"
"ESTADOS_UNIDOS","PALAU"
"CHILE","BUENOS_AIRES"
"GIBRALTAR","GIBRALTAR_(GENERAL)"
"NICARAGUA","MASAYA"
"REINO_UNIDO","EAST_DUNBARTONSHIRE"
"INDIA","WEST_BENGAL"
"ESLOVENIA","KOPER-CAPODISTRIA"
"BRUNEI_DARUSSALAM","SIN_INFORMAR"
"ARGENTINA","CORDOBA"
"ARGENTINA","TUCUMAN"
"ARGENTINA","MISIONES"
"ARGENTINA","SAN_JUAN"
"EGIPTO","AL_BAHR_AL_AHMAR"
"CHILE","REGION_METROPOLITANA"
"ESTADOS_UNIDOS","NEW_JERSEY"
"FRANCIA","MIDI-PYRENEES"
"COLOMBIA","MAGDALENA"
"ITALIA","LIGURIA"
"ALEMANIA","HESSEN"
"ESPAÑA","GRANADA"
"ESTADOS_UNIDOS","NEW_YORK"
"PARAGUAY","ALTO_PARANA"
"ESPAÑA","TENERIFE"
"ALEMANIA","HAMBURG"
"ITALIA","PIEMONTE"
"ESPAÑA","HUESCA"
"ALEMANIA","NIEDERSACHSEN"
"ECUADOR","EL_ORO"
"ITALIA","EMILIA-ROMAGNA"
"URUGUAY","PAYSANDU"
"ECUADOR","AZUAY"
"PARAGUAY","CAAZAPA"
"CANADA","ALBERTA"
"ALEMANIA","NORDRHEIN-WESTFALEN"
"ESPAÑA","TERUEL"
"PARAGUAY","ALTO_PARAGUAY"
"VENEZUELA","ZULIA"
"PERU","LA_LIBERTAD"
"ESPAÑA","LEON"
"CANADA","BRITISH_COLUMBIA"
"ECUADOR","MANABI"
"HONDURAS","FRANCISCO_MORAZAN"
"ESPAÑA","MENORCA"
"SUIZA","NEUCHATEL"
"REPUBLICA_CHECA","JIHOMORAVSKY_KRAJ"
"ESPAÑA","BADAJOZ"
"DINAMARCA","KOBENHAVN"
"ANDORRA","ANDORRA_LA_VELLA"
"SUECIA","UPPSALA_LAN"
"PARAGUAY","PRESIDENTE_HAYES"
"ESPAÑA","LA_RIOJA"
"ESTADOS_UNIDOS","NEW_HAMPSHIRE"
"SUIZA","SANKT_GALLEN"
"CUBA","LA_HABANA"
"REINO_UNIDO","SUFFOLK"
"ECUADOR","ESMERALDAS"
"EGIPTO","AL_JIZAH"
"ECUADOR","ORELLANA"
"ESPAÑA","SEGOVIA"
"FRANCIA","BRETAGNE"
"INDONESIA","SUMATERA_BARAT"
"ESTADOS_UNIDOS","KANSAS"
"REINO_UNIDO","WEST_SUSSEX"
"CROACIA","DUBROVACKO-NERETVANSKA"
"ALEMANIA","SAARLAND"
"REPUBLICA_DOMINICANA","SANTIAGO"
"ESPAÑA","ZAMORA"
"INDONESIA","JAKARTA_RAYA"
"PERU","AREQUIPA"
"IRAN","SIN_INFORMAR"
"FRANCIA","FRANCHE-COMTE"
"COLOMBIA","QUINDIO"
"BRASIL","MARANHAO"
"REINO_UNIDO","KINGSTON_UPON_THAMES"
"MONACO","MONACO"
"VENEZUELA","MONAGAS"
"BRASIL","TOCANTINS"
"SUIZA","SOLOTHURN"
"REINO_UNIDO","STIRLING"
"MEXICO","COAHUILA_DE_ZARAGOZA"
"NORUEGA","SOR-TRONDELAG"
"REPUBLICA_POPULAR_CHINA","TAIWAN"
"EGIPTO","AL_QAHIRAH"
"UCRANIA","SIN_INFORMAR"
"REPUBLICA_DOMINICANA","SAMANA"
"REINO_UNIDO","PETERBOROUGH"
"GUATEMALA","JALAPA"
"REINO_UNIDO","POWYS"
"REINO_UNIDO","NORTH_YORKSHIRE"
"MALASIA","JOHOR"
"URUGUAY","LAVALLEJA"
"PERU","SAN_MARTIN"
"REPUBLICA_CHECA","STREDOCESKY_KRAJ"
"FILIPINAS","MANILA"
"VENEZUELA","TRUJILLO"
"REINO_UNIDO","NORTH_SOMERSET"
"MEXICO","TLAXCALA"
"ISLANDIA","HAFNARFJORDUR"
"ESLOVENIA","SKOFLJICA"
"DINAMARCA","VEJLE"
"PANAMA","CHIRIQUI"
"EL_SALVADOR","LA_PAZ"
"UCRANIA","VOLYNS_KA_OBLAST"
"POLONIA","BYDGOSZCZ"
"VIRGIN_ISLANDS_BRITISH","SIN_INFORMAR"
"NORUEGA","BUSKERUD"
"CROACIA","SPLITSKO-DALMATINSKA"
"JAPON","NIIGATA"
"REPUBLICA_POPULAR_CHINA","HUNAN"
"REINO_UNIDO","CUMBRIA"
"COLOMBIA","DISTRITO_ESPECIAL"
"URUGUAY","FLORES"
"MACAO","MACAU"
"REPUBLICA_CHECA","PARDUBICKY_KRAJ"
"TAILANDIA","CHON_BURI"
"NORUEGA","HEDMARK"
"POLONIA","LUBELSKIE"
"REINO_UNIDO","WARWICKSHIRE"
"TURQUIA","SIN_INFORMAR"
"BERMUDA","PAGET"
"Paises_Bajos","GRONINGEN"
"ECUADOR","PASTAZA"
"NORUEGA","SOGN_OG_FJORDANE"
"SUDAFRICA","FREE_STATE"
"RUSIA","KHABAROVSK"
"REPUBLICA_POPULAR_CHINA","SHANDONG"
"ECUADOR","NAPO"
"RUSIA","SAINT_PETERSBURG_CITY"
"MARTINIQUE","MARTINIQUE_DEPARTEMENT"
"CANADA","PRINCE_EDWARD_ISLAND"
"SERBIA","SIN-INFORMAR"
"VENEZUELA","APURE"
"TUNEZ","SIN_INFORMAR"
"REINO_UNIDO","CLWYD"
"ARGENTINA","NORDRHEIN-WESTFALEN"
"JAPON","NARA"
"UCRANIA","MYKOLAYIVS_KA_OBLAST"
"POLONIA","LODZKIE"
"REINO_UNIDO","CONWY"
"REPUBLICA_DOMINICANA","SANCHEZ_RAMIREZ"
"VIETNAM","HOA_BINH"
"PORTUGAL","AVEIRO"
"POLONIA","ZACHODNIOPOMORSKIE"
"POLONIA","POMORSKIE"
"IRLANDA","LEITRIM"
"PANAMA","HERRERA"
"JAPON","OITA"
"REINO_UNIDO","ANTRIM"
"NORUEGA","TELEMARK"
"NIGERIA","SIN_INFORMAR"
"NUEVA_ZELANDA","WESTLAND"
"QATAR","AD_DAWHAH"
"REINO_UNIDO","PORTSMOUTH"
"PERU","AMAZONAS"
"TURQUIA","AYDIN"
"HONDURAS","SANTA_BARBARA"
"FILIPINAS","CAVITE"
"HONDURAS","COMAYAGUA"
"NICARAGUA","SIN_INFORMAR"
"PORTUGAL","VIANA_DO_CASTELO"
"INDONESIA","SUMATERA_SELATAN"
"ISLANDIA","AKUREYRI"
"MONACO","MONTE-CARLO"
"REINO_UNIDO","ISLE_OF_WIGHT"
"REINO_UNIDO","STOKE-ON-TRENT"
"POLONIA","DOLNOSLASKIE"
"DINAMARCA","STADEN_KOBENHAVN"
"EMIRATOS_ARABES_UNIDOS","RAS_AL_KHAIMAH"
"REINO_UNIDO","SOUTH_AYRSHIRE"
"POLONIA","PODKARPACKIE"
"LITUANIA","VILNIAUS_APSKRITIS"
"ALBANIA","ELBASAN"
"COREA_DEL_SUR","KANGWON-DO"
"IRLANDA","TIPPERARY"
"NUEVA_ZELANDA","BAY_OF_ISLANDS"
"SAN_MARINO","MONTE_GIARDINO"
"ESLOVAQUIA","KOSICE"
"INDONESIA","KALIMANTAN_TIMUR"
"HONDURAS","COPAN"
"REINO_UNIDO","HARROW"
"VIETNAM","HA_NOI"
"REPUBLICA_POPULAR_CHINA","HEILONGJIANG"
"ARGENTINA","LIBERTADOR"
"ESLOVENIA","MARIBOR"
"TAILANDIA","CHIANG_RAI"
"REINO_UNIDO","VALE_OF_GLAMORGAN,_THE"
"ESPAÑA","MADRID"
"BOLIVIA","COCHABAMBA"
"ESPAÑA","IBIZA"
"MEXICO","MICHOACAN_DE_OCAMPO"
"COLOMBIA","CUNDINAMARCA"
"ESPAÑA","MALAGA"
"ESTADOS_UNIDOS","CALIFORNIA"
"ARGENTINA","JURISDICCION_FEDERAL"
"ESTADOS_UNIDOS","NEVADA"
"ESTADOS_UNIDOS","VIRGINIA"
"REPUBLICA_DOMINICANA","LA_ROMANA"
"ESTADOS_UNIDOS","MICHIGAN"
"FRANCIA","AQUITAINE"
"ECUADOR","PICHINCHA"
"ARGENTINA","ANTARTIDA"
"ARGENTINA","SIN_INFORMAR"
"ITALIA","VENETO"
"REPUBLICA_DOMINICANA","SIN_INFORMAR"
"AUSTRALIA","WESTERN_AUSTRALIA"
"CHILE","VALPARAISO"
"SUDAFRICA","WESTERN_CAPE"
"ESTADOS_UNIDOS","PENNSYLVANIA"
"CHILE","ANTOFAGASTA"
"REPUBLICA_CHECA","KRALOVEHRADECKY_KRAJ"
"JAPON","KANAGAWA"
"AUSTRIA","TIROL"
"AUSTRALIA","SOUTH_AUSTRALIA"
"COLOMBIA","ATLANTICO"
"ESTADOS_UNIDOS","IOWA"
"IRAQ","BAGHDAD"
"VENEZUELA","VARGAS"
"ITALIA","CAMPANIA"
"ESPAÑA","PALENCIA"
"SUDAFRICA","GAUTENG"
"URUGUAY","RIO_NEGRO"
"RUSIA","MOSCOW_CITY"
"VENEZUELA","MERIDA"
"BULGARIA","SOFIYA"
"COLOMBIA","VALLE_DEL_CAUCA"
"ESTADOS_UNIDOS","ARKANSAS"
"REINO_UNIDO","LEICESTERSHIRE"
"SUIZA","BASEL-LANDSCHAFT"
"SUDAFRICA","SIN_INFORMAR"
"REINO_UNIDO","NEWCASTLE_UPON_TYNE"
"HONG_KONG","HONG_KONG_(GENERAL)"
"ANDORRA","ENCAMP"
"REINO_UNIDO","CARDIFF"
"JAPON","SIN_INFORMAR"
"NORUEGA","AKERSHUS"
"Paises_Bajos","ZUID-HOLLAND"
"FRANCIA","BOURGOGNE"
"DINAMARCA","SIN_INFORMAR"
"JAPON","NAGANO"
"MEXICO","DURANGO"
"BOLIVIA","CIUDAD_DE_BUENOS_AIRES"
"REINO_UNIDO","MERTON"
"REINO_UNIDO","CROYDON"
"JAPON","YAMANASHI"
"JAPON","KYOTO"
"URUGUAY","RIVERA"
"REINO_UNIDO","OXFORDSHIRE"
"NORUEGA","HORDALAND"
"BIELORRUSIA","MINSK"
"POLONIA","MAZOWIECKIE"
"NUEVA_ZELANDA","HAWKES_BAY"
"REINO_UNIDO","NOTTINGHAMSHIRE"
"REINO_UNIDO","GLASGOW_CITY"
"PERU","LORETO"
"QATAR","AR_RAYYAN"
"NORUEGA","SIN_INFORMAR"
"REPUBLICA_DOMINICANA","LA_ALTAGRACIA"
"UCRANIA","TERNOPILS_KA_OBLAST"
"PANAMA","SIN_INFORMAR"
"REINO_UNIDO","BIRMINGHAM"
"PANAMA","LOS_SANTOS"
"IRLANDA","LIMERICK"
"FRANCIA","NORD-PAS-DE-CALAIS"
"SUIZA","THURGAU"
"PALESTINA","SIN_INFORMAR"
"ALEMANIA","SACHSEN"
"REINO_UNIDO","TYNE_AND_WEAR"
"REINO_UNIDO","EAST_RIDING_OF_YORKSHIRE"
"REINO_UNIDO","BOURNEMOUTH"
"VENEZUELA","PORTUGUESA"
"NORUEGA","TROMS"
"ALEMANIA","BRANDENBURG"
"TAILANDIA","SURAT_THANI"
"REINO_UNIDO","ROTHERHAM"
"CROACIA","GRAD_ZAGREB"
"CHILE","ARICA_Y_PARINACOTA"
"FILIPINAS","CAVITE_CITY"
"JAPON","YAMAGATA"
"PORTUGAL","VISEU"
"ESPAÑA","MELILLA"
"MACEDONIA","GEVGELIJA"
"MARRUECOS","RABAT-SALE"
"TURQUIA","ISTANBUL"
"ESLOVENIA","SIN_INFORMAR"
"URUGUAY","TACUAREMBO"
"VIETNAM","HO_CHI_MINH"
"SIRIA","HAMAH"
"PERU","CAJAMARCA"
"SIRIA","HIMS"
"UCRANIA","DONETS_KA_OBLAST"
"GEORGIA","SIN_INFORMAR"
"REPUBLICA_POPULAR_CHINA","SHAANXI"
"REPUBLICA_POPULAR_CHINA","ZHEJIANG"
"BELGICA","LIMBURG"
"COLOMBIA","META"
"FRANCIA","CHAMPAGNE-ARDENNE"
"POLONIA","KRAKOW"
"UCRANIA","POLTAVS_KA_OBLAST"
"TAILANDIA","CHANTHABURI"
"EMIRATOS_ARABES_UNIDOS","AJMAN"
"ECUADOR","CARCHI"
"BURUNDI","BURURI"
"IRLANDA","KERRY"
"REPUBLICA_POPULAR_CHINA","YUNNAN"
"EGIPTO","BUR_SAID"
"RUSIA","BRYANSK"
"NUEVA_ZELANDA","WAIRARAPA_SOUTH"
"MYANMAR","YANGON"
"NORUEGA","MORE_OG_ROMSDAL"
"URUGUAY","TREINTA_Y_TRES"
"ESLOVAQUIA","TRNAVA"
"OMAN","MASQAT"
"ARGELIA","ALGER"
"MOZAMBIQUE","SOFALA"
"RUSIA","KURSK"
"SUIZA","JURA"
"SUECIA","JONKOPINGS_LAN"
"GUYANA","SIN_INFORMAR"
"HONDURAS","YORO"
"GUATEMALA","SANTA_ROSA"
"BRASIL","PIAUI"
"BELICE","STANN_CREEK"
"NUEVA_ZELANDA","ROTORUA"
"REINO_UNIDO","SOUTHEND-ON-SEA"
